Date,Module,Details
2026-08-06 22:44:19,Budget Planner,August | Income=50000.0 | Expense=25000.0
2026-08-06 22:44:19,Budget Planner,August | Income=50000.0 | Expense=25000.0
2026-08-06 22:46:08,EMI Calculator,"Loan=500000.0, EMI=10258.27"
2026-08-06 22:46:18,SIP Calculator,Future Value=1161695.38
2026-08-06 22:46:18,SIP Calculator,Future Value=1161695.38
2026-08-06 22:46:55,Savings Goal,"Goal=100000.0, Months=20"
2026-08-06 22:46:56,Savings Goal,"Goal=100000.0, Months=20"
2026-08-06 22:54:19,Expense Added,Education - ₹26.0
2026-08-07 00:46:59,AI Assistant,Should I prepay my loan?
2026-08-07 00:48:30,AI Assistant,how to reduce expenses
2026-08-07 23:14:13,AI Assistant,Create an ideal monthly budget.
