Date,Category,Amount,Description
2026-08-01,Food,350,Breakfast
2026-08-01,Transport,120,Metro Ticket
2026-08-02,Shopping,2500,Clothing
2026-08-02,Bills,1800,Electricity Bill
2026-08-03,Healthcare,650,Medicines
2026-08-03,Entertainment,500,Movie
2026-08-04,Food,420,Dinner
2026-08-04,Education,1200,Online Course
2026-08-05,Investment,5000,Monthly SIP
2026-08-05,Transport,250,Cab Fare
2026-08-06,Food,180,Coffee
2026-08-06,Shopping,3200,Shoes
2026-08-07,Bills,900,Internet Bill
2026-08-07,Entertainment,750,Concert Ticket
2026-08-08,Others,300,Gifts
2026-08-08,Healthcare,1200,Dental Checkup
2026-08-09,Food,600,Lunch
2026-08-09,Investment,3000,Mutual Fund
2026-08-10,Transport,150,Bus Pass
2026-08-10,Others,450,Stationery
